"","date","observer","cloud_cover","wind","vista","survey_start","int_seal_adult","int_seal_pup","int_lion_adult","int_lion_pup","swim_seal","swim_lion","humans","dtime","sio_sst","sio_air_temp","predicted_ft"
"60",2021-11-21,"BriMac",0,1,"lot3",0.586805555555556,12,0,0,0,0,0,0,2021-11-21 14:00:00,15.6000003814697,13.6999998092651,4.255
"61",2021-11-14,"BriMac",0,2,"zone1",0.652777777777778,0,0,0,0,2,0,28,2021-11-14 16:00:00,16.5,21.3999996185303,4.812
"62",2021-11-14,"BriMac",0,2,"spur",0.673611111111111,3,0,0,0,0,0,8,2021-11-14 16:00:00,16.5,21.3999996185303,4.812
"63",2021-11-14,"BriMac",0,2,"lot3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2021-11-15,"JesCal",0,NA,"zone1",0.405555555555556,0,0,0,0,0,1,11,2021-11-15 10:00:00,16.3999996185303,17.2000007629395,1.496
"65",2021-11-15,"JesCal",0,NA,"spur",0.420833333333333,0,0,0,0,11,0,3,2021-11-15 10:00:00,16.3999996185303,17.2000007629395,1.496
"66",2021-11-15,"JesCal",0,NA,"lot3",0.434722222222222,4,0,0,0,0,0,9,2021-11-15 10:00:00,16.3999996185303,17.2000007629395,1.496
"67",2021-11-07,"BriMac",0,2.5,"zone1",0.625,0,0,0,0,0,0,32,2021-11-07 15:00:00,16.5,14.8999996185303,4.826
"68",2021-11-07,"BriMac",0,2.5,"spur",0.569444444444444,0,0,0,0,0,0,11,2021-11-07 14:00:00,15.8000001907349,14.5,3.603
"69",2021-11-07,"BriMac",0,2.5,"lot3",0.590277777777778,0,0,0,0,0,0,0,2021-11-07 14:00:00,15.8000001907349,14.5,3.603
"70",2022-01-16,"BriMac",95,2,"zone1",0.506944444444444,0,0,0,0,0,0,17,2022-01-16 12:00:00,14.8999996185303,17,3.592
"71",2022-01-16,"BriMac",95,2,"spur",0.597222222222222,8,0,0,0,0,0,11,2022-01-16 14:00:00,14.8000001907349,17.2000007629395,5.46
"72",2022-01-16,"BriMac",95,2,"lot3",0.625,0,0,0,0,0,0,16,2022-01-16 15:00:00,14.8000001907349,16.8999996185303,6.089
"73",2022-02-02,"BriMac",0,3,"zone1",0.489583333333333,0,0,0,0,0,0,21,2022-02-02 12:00:00,15.1000003814697,12,1.436
"74",2022-02-02,"BriMac",0,3,"spur",0.513888888888889,10,0,0,0,2,0,8,2022-02-02 12:00:00,15.1000003814697,12,1.436
"75",2022-02-02,"BriMac",0,3,"lot3",0.545138888888889,9,0,0,0,1,0,0,2022-02-02 13:00:00,15.1000003814697,11.8000001907349,2.187
"76",2021-10-31,"BriMac",0,2,"zone1",0.663194444444444,0,0,0,0,1,0,24,2021-10-31 16:00:00,18.2000007629395,16.5,4.389
"77",2021-10-31,"BriMac",0,2,"spur",0.586805555555556,10,0,0,0,0,0,6,2021-10-31 14:00:00,18.1000003814697,15.8999996185303,5.033
"78",2021-10-31,"BriMac",0,2,"lot3",0.614583333333333,6,0,0,0,0,0,0,2021-10-31 15:00:00,18.2000007629395,16,4.912
"79",2021-10-17,"BriMac",0,2,"zone1",0.541666666666667,0,0,0,0,0,0,25,2021-10-17 13:00:00,18.2000007629395,17.5,3.988
"80",2021-10-17,"BriMac",0,2,"spur",0.579861111111111,19,0,0,0,0,0,8,2021-10-17 14:00:00,18.2999992370605,17,5.079
"81",2021-10-17,"BriMac",0,2,"lot3",0.604166666666667,0,0,0,0,0,0,0,2021-10-17 15:00:00,18.2999992370605,20.8999996185303,5.609
"82",2021-10-02,"KatGer",20,1,"zone1",0.418055555555556,0,0,0,0,0,0,6,2021-10-02 10:00:00,18.3999996185303,18.6000003814697,0.773
